Linux 6.6.87.2-microsoft-standard-WSL2 (d75345d54402) 	10/30/25 	_x86_64_	(8 CPU)

09:43:00        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:45:54        all     85.82      0.00      8.76      0.52      0.00      4.90
09:45:55        all     80.26      0.00     14.74      0.00      0.00      5.00
09:45:56        all     93.69      0.00      5.91      0.00      0.00      0.39
09:45:57        all     97.59      0.00      2.41      0.00      0.00      0.00
09:45:58        all     95.62      0.00      4.38      0.00      0.00      0.00
09:45:59        all     85.18      0.00     11.48      0.00      0.00      3.34
09:46:00        all     74.93      0.00     21.81      0.00      0.00      3.26
09:46:01        all     90.59      0.00      8.76      0.00      0.00      0.65
09:46:02        all     97.41      0.00      2.59      0.00      0.00      0.00
09:46:03        all     91.06      0.00      8.53      0.00      0.00      0.41
09:46:04        all     78.14      0.00     19.29      0.00      0.00      2.57
09:46:05        all     82.31      0.00     12.48      0.00      0.00      5.20
09:46:06        all     80.55      0.00     11.61      0.00      0.00      7.84
09:46:07        all     88.50      0.00      2.25      0.00      0.00      9.25
09:46:08        all     80.50      0.00      4.84      0.00      0.00     14.66
09:46:09        all     22.47      0.00      5.56      0.00      0.00     71.97
09:46:10        all      0.25      0.00      3.52      0.00      0.00     96.23
09:46:11        all      0.12      0.00      4.11      0.00      0.00     95.77
09:46:12        all      0.50      0.00      3.25      0.00      0.00     96.25
09:46:13        all      2.40      0.00      5.04      0.00      0.00     92.56
09:46:14        all      0.25      0.00      4.59      0.00      0.00     95.16
09:46:15        all     60.65      0.00      6.14      0.00      0.00     33.21
09:46:16        all     96.48      0.00      3.52      0.00      0.00      0.00
09:46:17        all     98.25      0.00      1.75      0.00      0.00      0.00
09:46:18        all     93.50      0.00      5.22      0.00      0.00      1.27
09:46:19        all     95.78      0.00      3.96      0.00      0.00      0.26
09:46:20        all     97.95      0.00      2.05      0.00      0.00      0.00
09:46:21        all     95.67      0.00      3.44      0.25      0.00      0.64
09:46:22        all     92.67      0.00      6.94      0.00      0.00      0.39
09:46:23        all     83.84      0.00     15.56      0.00      0.00      0.60
09:46:24        all     96.84      0.00      3.16      0.00      0.00      0.00
09:46:25        all     94.03      0.00      5.35      0.00      0.00      0.62
09:46:26        all     90.95      0.00      8.76      0.00      0.00      0.29
09:46:27        all     89.14      0.00      3.54      0.00      0.00      7.32
09:46:28        all     78.59      0.00      3.71      0.37      0.00     17.33
09:46:29        all     37.26      0.00     11.41      0.00      0.00     51.33
09:46:30        all     42.65      0.00     23.32      0.00      0.00     34.02
09:46:31        all     18.35      0.00     10.25      0.00      0.00     71.39
09:46:32        all      0.38      0.00      3.88      0.50      0.00     95.24
09:46:33        all      2.49      0.00      6.34      0.00      0.00     91.17
09:46:34        all      1.63      0.00      5.90      0.00      0.00     92.47
09:46:35        all      1.12      0.00      4.00      0.00      0.00     94.88
09:46:36        all      0.38      0.00      2.51      0.00      0.00     97.11
09:46:37        all      2.14      0.00      4.77      0.00      0.00     93.09
09:46:38        all      1.00      0.00      1.13      0.50      0.00     97.37

Average:        all     83.34      0.00      5.26      0.02      0.00     11.38
